,0,1,2,3,4,5,6
362,2021-05-01 17:31:31,河北,邯郸,32,0,32,0
363,2021-05-01 17:31:31,河北,承德,7,0,7,0
364,2021-05-01 17:31:31,河北,衡水,8,0,8,0
365,2021-05-01 17:31:31,河北,秦皇岛,10,0,9,1
366,2021-05-01 17:31:31,黑龙江,境外输入,390,0,390,0
367,2021-05-01 17:31:31,黑龙江,哈尔滨,410,0,406,4
368,2021-05-01 17:31:31,黑龙江,绥化,536,0,532,4
369,2021-05-01 17:31:31,黑龙江,地区待确认,2,0,2,0
370,2021-05-01 17:31:31,黑龙江,齐齐哈尔,44,0,43,1
371,2021-05-01 17:31:31,黑龙江,大庆,29,0,28,1
372,2021-05-01 17:31:31,黑龙江,黑河,24,0,24,0
373,2021-05-01 17:31:31,黑龙江,牡丹江,36,0,36,0
374,2021-05-01 17:31:31,黑龙江,大兴安岭,3,0,3,0
375,2021-05-01 17:31:31,黑龙江,双鸭山,52,0,49,3
376,2021-05-01 17:31:31,黑龙江,鹤岗,5,0,5,0
377,2021-05-01 17:31:31,黑龙江,七台河,17,0,17,0
378,2021-05-01 17:31:31,黑龙江,鸡西,46,0,46,0
379,2021-05-01 17:31:31,黑龙江,伊春,1,0,1,0
380,2021-05-01 17:31:31,黑龙江,佳木斯,15,0,15,0
381,2021-05-01 17:31:31,吉林,通化,313,0,312,1
382,2021-05-01 17:31:31,吉林,长春,150,0,150,0
383,2021-05-01 17:31:31,吉林,松原,6,0,6,0
384,2021-05-01 17:31:31,吉林,四平,17,0,16,1
385,2021-05-01 17:31:31,吉林,吉林,48,0,47,1
386,2021-05-01 17:31:31,吉林,境外输入,19,0,19,0
387,2021-05-01 17:31:31,吉林,白城,1,0,1,0
388,2021-05-01 17:31:31,吉林,公主岭,6,0,6,0
389,2021-05-01 17:31:31,吉林,辽源,7,0,7,0
390,2021-05-01 17:31:31,吉林,延边,5,0,5,0
391,2021-05-01 17:31:31,吉林,梅河口市,1,0,1,0
392,2021-05-01 17:31:31,江西,境外输入,6,0,6,0
393,2021-05-01 17:31:31,江西,南昌,231,0,231,0
394,2021-05-01 17:31:31,江西,新余,129,0,129,0
395,2021-05-01 17:31:31,江西,赣州,74,0,73,1
396,2021-05-01 17:31:31,江西,九江,116,0,116,0
397,2021-05-01 17:31:31,江西,上饶,123,0,123,0
398,2021-05-01 17:31:31,江西,抚州,72,0,72,0
399,2021-05-01 17:31:31,江西,吉安,22,0,22,0
400,2021-05-01 17:31:31,江西,萍乡,33,0,33,0
401,2021-05-01 17:31:31,江西,宜春,106,0,106,0
402,2021-05-01 17:31:31,江西,鹰潭,18,0,18,0
403,2021-05-01 17:31:31,江西,景德镇,6,0,6,0
404,2021-05-01 17:31:31,江西,赣江新区,1,0,1,0
405,2021-05-01 17:31:31,安徽,境外输入,3,0,3,0
406,2021-05-01 17:31:31,安徽,阜阳,156,0,156,0
407,2021-05-01 17:31:31,安徽,合肥,174,0,173,1
408,2021-05-01 17:31:31,安徽,芜湖,34,0,34,0
409,2021-05-01 17:31:31,安徽,蚌埠,160,0,155,5
410,2021-05-01 17:31:31,安徽,淮南,27,0,27,0
411,2021-05-01 17:31:31,安徽,马鞍山,38,0,38,0
412,2021-05-01 17:31:31,安徽,淮北,27,0,27,0
413,2021-05-01 17:31:31,安徽,铜陵,29,0,29,0
414,2021-05-01 17:31:31,安徽,安庆,83,0,83,0
415,2021-05-01 17:31:31,安徽,黄山,9,0,9,0
416,2021-05-01 17:31:31,安徽,滁州,13,0,13,0
417,2021-05-01 17:31:31,安徽,宿州,41,0,41,0
418,2021-05-01 17:31:31,安徽,六安,69,0,69,0
419,2021-05-01 17:31:31,安徽,亳州,108,0,108,0
420,2021-05-01 17:31:31,安徽,池州,17,0,17,0
421,2021-05-01 17:31:31,安徽,宣城,6,0,6,0
422,2021-05-01 17:31:31,宁夏,境外输入,3,0,3,0
423,2021-05-01 17:31:31,宁夏,银川,34,0,34,0
424,2021-05-01 17:31:31,宁夏,吴忠,28,0,28,0
425,2021-05-01 17:31:31,宁夏,固原,5,0,5,0
426,2021-05-01 17:31:31,宁夏,中卫,3,0,3,0
427,2021-05-01 17:31:31,宁夏,石嘴山,1,0,1,0
428,2021-05-01 17:31:31,宁夏,宁东管委会,1,0,1,0
429,2021-05-01 17:31:31,西藏,拉萨,1,0,1,0
430,2021-05-01 17:31:31,辽宁,境外输入,97,0,97,0
431,2021-05-01 17:31:31,辽宁,大连,161,0,161,0
432,2021-05-01 17:31:31,辽宁,沈阳,70,0,70,0
433,2021-05-01 17:31:31,辽宁,铁岭,8,0,8,0
434,2021-05-01 17:31:31,辽宁,抚顺,1,0,1,0
435,2021-05-01 17:31:31,辽宁,朝阳市,6,0,5,1
436,2021-05-01 17:31:31,辽宁,丹东,11,0,11,0
437,2021-05-01 17:31:31,辽宁,葫芦岛,12,0,11,1
438,2021-05-01 17:31:31,辽宁,鞍山,4,0,4,0
439,2021-05-01 17:31:31,辽宁,锦州,12,0,12,0
440,2021-05-01 17:31:31,辽宁,盘锦,11,0,11,0
441,2021-05-01 17:31:31,辽宁,阜新,8,0,8,0
442,2021-05-01 17:31:31,辽宁,本溪,3,0,3,0
443,2021-05-01 17:31:31,辽宁,辽阳,3,0,3,0
444,2021-05-01 17:31:31,辽宁,营口,1,0,1,0
